Hospital Name,City,State,Current Contract Holder,Contract Expiry Date,Net Total Births,Month
BAYLOR SCOTT & WHITE HILLCREST,WACO,TX,Abbott Exclusive,2025-02-28,2500,2025-02
BAYLOR SCOTT & WHITE ALL SAINTS,FORT WORTH,TX,Abbott Exclusive,2025-02-28,6600,2025-02
BAY AREA MEDICAL CTR,MARINETTE,WI,Abbott Exclusive,2025-02-28,153,2025-02
BAY AREA HOSP,COOS BAY,OR,Choice,2025-02-28,650,2025-02
CHILDRENS HEALTHCARE OF ATLANTA,ATLANTA,GA,MJN Exclusive,2025-02-28,6043,2025-02
CHILDRENS HOSP AND MEDICAL CTR,OMAHA,NE,Choice,2025-02-28,535,2025-02
CHILDRENS HOSP MED CTR,OAKLAND,CA,Abbott Exclusive,2025-02-28,3701,2025-02
CHILDRENS HOSP OF PHILADELPHIA,PHILADELPHIA,PA,MJN Exclusive,2025-02-28,1798,2025-02
CHILDRENS HOSPITAL,BIRMINGHAM,AL,MJN Exclusive,2025-02-28,457,2025-02
CHILDRENS HOSPITAL,NORFOLK,VA,MJN Exclusive,2025-02-28,601,2025-02
CHILDRENS HOSPITAL COLORADO,AURORA,CO,Abbott Exclusive,2025-02-28,2101,2025-02
CHILDRENS HOSPITAL COLORADO,COLORADO SPRINGS,CO,Abbott Exclusive,2025-02-28,891,2025-02
CHILDRENS HOSPITAL COLORADO,HIGHLANDS RANCH,CO,Abbott Exclusive,2025-02-28,50,2025-02
CHILDRENS HOSPITAL MINNEAPOLIS,MINNEAPOLIS,MN,Abbott Exclusive,2025-02-28,1220,2025-02
CHILDRENS HOSPITAL OF FOX VALLEY,NEENAH,WI,MJN Exclusive,2025-02-28,264,2025-02
CHILDRENS HOSPITAL OF WISCONSIN,WAUWATOSA,WI,MJN Exclusive,2025-02-28,2075,2025-02
CHILDRENS HOSPITAL ORANGE COUNTY,ORANGE,CA,Choice,2025-02-28,885,2025-02
CHILDRENS MERCY HOSP,KANSAS CITY,MO,MJN Exclusive,2025-02-28,2990,2025-02
ALOMERE HEALTH,ALEXANDRIA,MN,Abbott Exclusive,2025-02-28,600,2025-02
BAPTIST HEALTH MED CTR DREW COUNTY,MONTICELLO,AR,Abbott Exclusive,2025-02-28,315,2025-02
BONNER GENERAL HOSPITAL,SANDPOINT,ID,MJN Exclusive,2025-02-28,0,2025-02
GOVE COUNTY MED CTR,QUINTER,KS,Choice,2025-02-28,0,2025-02
GOSHEN HOSPITAL,GOSHEN,IN,MJN Exclusive,2025-02-28,1342,2025-02
GREENE COUNTY MED CTR,JEFFERSON,IA,Choice,2025-02-28,0,2025-02
HARRINGTON MEMORIAL HOSPITAL,SOUTHBRIDGE,MA,MJN Exclusive,2025-02-28,0,2025-02
GOODLAND REG MED CTR,GOODLAND,KS,Choice,2025-02-28,0,2025-02
GOOD SAMARITAN REG MED CTR,CORVALLIS,OR,Abbott Exclusive,2025-02-28,894,2025-02
GOOD SAMARITAN HOSPITAL MEDICAL CTR,WEST ISLIP,NY,Abbott Exclusive,2025-02-28,3110,2025-02
GOOD SAMARITAN HOSPITAL,DAYTON,OH,Other,2025-02-28,0,2025-02
GOOD SAMARITAN HOSP,CINCINNATI,OH,Abbott Exclusive,2025-02-28,4834,2025-02
HARNEY DISTRICT HOSPITAL,BURNS,OR,Abbott Exclusive,2025-02-28,63,2025-02
GOLDEN VALLEY MEMORIAL HOSPITAL,CLINTON,MO,MJN Exclusive,2025-02-28,350,2025-02
HOLTON HOSP,HOLTON,KS,Choice,2025-02-28,0,2025-02
HARDIN MEMORIAL HOSPITAL,KENTON,OH,Choice,2025-02-28,0,2025-02
ALLINA BUFFALO HOSPITAL,BUFFALO,MN,Abbott Exclusive,2025-02-28,542,2025-02
GREAT PLAINS REG MED CTR,ELK CITY,OK,Choice,2025-02-28,352,2025-02
GLENBROOK HOSPITAL,GLENVIEW,IL,Other,2025-02-28,0,2025-02
ALLINA CAMBRIDGE MEDICAL CENTER,CAMBRIDGE,MN,Abbott Exclusive,2025-02-28,319,2025-02
HUNTERDON MEDICAL CENTER,FLEMINGTON,NJ,MJN Exclusive,2025-02-28,1025,2025-02
GERBER MEMORIAL HOSPITAL,FREMONT,MI,Abbott Exclusive,2025-02-28,510,2025-02
ADVENTIST MEDICAL CTR PORTLAND,PORTLAND,OR,Abbott Exclusive,2025-02-28,567,2025-02
HOLY REDEEMER HOSPITAL & MED CTR,MEADOWBROOK,PA,Abbott Exclusive,2025-02-28,2926,2025-02
HARDIN MEDICAL CENTER,SAVANNAH,TN,Choice,2025-02-28,520,2025-02
HOLY ROSARY HLTH CENTER,MILES CITY,MT,Abbott Exclusive,2025-02-28,177,2025-02
HOLZER MEDICAL CENTER,GALLIPOLIS,OH,MJN Exclusive,2025-02-28,643,2025-02
ADVENTIST HEALTH CLEAR LAKE,CLEARLAKE,CA,Abbott Exclusive,2025-02-28,211,2025-02
GRADY MEMORIAL HOSPITAL,ATLANTA,GA,MJN Exclusive,2025-02-28,2944,2025-02
HARBORVIEW MEDICAL CTR,SEATTLE,WA,Other,2025-02-28,0,2025-02
GRADY MEMORIAL HOSPITAL,CHICKASHA,OK,Other,2025-02-28,0,2025-02
ALICE PECK DAY MEMORIAL HOSPITAL,LEBANON,NH,Choice,2025-02-28,280,2025-02
HEALTHALLIANCE HOSPITAL,LEOMINSTER,MA,Abbott Exclusive,2025-02-28,0,2025-02
HEDRICK MEDICAL CENTER,CHILLICOTHE,MO,Choice,2025-02-28,100,2025-02
HELEN DEVOS CHILDRENS HOSPITAL,GRAND RAPIDS,MI,Abbott Exclusive,2025-02-28,2050,2025-02
GRAND VIEW HOSPITAL,SELLERSVILLE,PA,Abbott Exclusive,2025-02-28,775,2025-02
AHN WEXFORD HOSPITAL,WEXFORD,PA,Abbott Exclusive,2025-02-28,1400,2025-02
HELEN KELLER HOSPITAL,SHEFFIELD,AL,MJN Exclusive,2025-02-28,3185,2025-02
HEMET GLOBAL MEDICAL CENTER,HEMET,CA,Abbott Exclusive,2025-02-28,1147,2025-02
AKRON CHILDRENS HOSPITAL,AKRON,OH,Abbott Exclusive,2025-02-28,860,2025-02
HENDRICK MED CENTER BROWNWOOD,BROWNWOOD,TX,MJN Exclusive,2025-02-28,807,2025-02
AKRON CHILDRENS HOSPITAL BEEGHLY,BOARDMAN,OH,Other,2025-02-28,0,2025-02
HENDRICK MEDICAL CENTER,ABILENE,TX,MJN Exclusive,2025-02-28,1830,2025-02
HENDRICK MEDICAL CENTER SOUTH,ABILENE,TX,MJN Exclusive,2025-02-28,1275,2025-02
HENDRICKS REGIONAL HEALTH,DANVILLE,IN,MJN Exclusive,2025-02-28,1354,2025-02
HENNEPIN CO MED CENTER,MINNEAPOLIS,MN,Abbott Exclusive,2025-02-28,2096,2025-02
GREATER REGIONAL HEALTH,CRESTON,IA,Choice,2025-02-28,167,2025-02
HENRY MAYO NEWHALL,VALENCIA,CA,Abbott Exclusive,2025-02-28,1210,2025-02
HEYWOOD HOSPITAL,GARDNER,MA,MJN Exclusive,2025-02-28,400,2025-02
HIGHLAND HOSPITAL,ROCHESTER,NY,MJN Exclusive,2025-02-28,3033,2025-02
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,MJN Exclusive,2025-02-28,1158,2025-02
ALFOND CENTER FOR HEALTH,AUGUSTA,ME,Abbott Exclusive,2025-02-28,1040,2025-02
HILO MEDICAL CENTER,HILO,HI,MJN Exclusive,2025-02-28,1043,2025-02
ALICE HYDE MEDICAL CENTER,MALONE,NY,MJN Exclusive,2025-02-28,0,2025-02
HOBOKEN UNIVERSITY MEDICAL CENTER,HOBOKEN,NJ,Abbott Exclusive,2025-02-28,758,2025-02
HOCKING VALLEY COMMUNITY HOSP,LOGAN,OH,Choice,2025-02-28,0,2025-02
HOLLAND HOSPITAL,HOLLAND,MI,Abbott Exclusive,2025-02-28,1639,2025-02
GRAHAM COUNTY HOSPITAL,HILL CITY,KS,Choice,2025-02-28,0,2025-02
ADVENTIST HEALTH CASTLE,KAILUA,HI,Choice,2025-02-28,1123,2025-02
AHMC ANAHEIM REG MED CTR,ANAHEIM,CA,Abbott Exclusive,2025-02-28,1100,2025-02
HANCOCK MEDICAL CENTER,BAY SAINT LOUIS,MS,Choice,2025-02-28,4,2025-02
ALLINA MERCY HOSPITAL,COON RAPIDS,MN,Abbott Exclusive,2025-02-28,2783,2025-02
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,MJN Exclusive,2025-02-28,0,2025-02
GUTTENBERG MUNICIPAL HOSPITAL,GUTTENBERG,IA,Choice,2025-02-28,0,2025-02
GWINNETT MEDICAL CENTER,LAWRENCEVILLE,GA,Abbott Exclusive,2025-02-28,4439,2025-02
GEORGE REGIONAL HOSPITAL,LUCEDALE,MS,MJN Exclusive,2025-02-28,252,2025-02
GUTHRIE CORNING HOSPITAL,CORNING,NY,MJN Exclusive,2025-02-28,526,2025-02
HALIFAX REGIONAL HOSPITAL,SOUTH BOSTON,VA,MJN Exclusive,2025-02-28,0,2025-02
HUNTSVILLE HOSPITAL FOR WOMEN AND,HUNTSVILLE,AL,MJN Exclusive,2025-02-28,7150,2025-02
HSC PEDIATRIC CENTER,WASHINGTON,DC,MJN Exclusive,2025-02-28,0,2025-02
HALIFAX HEALTH MEDICAL CENTER,DAYTONA BEACH,FL,MJN Exclusive,2025-02-28,1762,2025-02
GUTHRIE CORTLAND MEDICAL CENTER,CORTLAND,NY,MJN Exclusive,2025-02-28,381,2025-02
GENESIS HLTH CARE SYS - BETHESDA,ZANESVILLE,OH,Abbott Exclusive,2025-02-28,1516,2025-02
GUNDERSEN/LUTHERAN HOSPITAL,LA CROSSE,WI,Abbott Exclusive,2025-02-28,1774,2025-02
HARBOR UCLA MEDICAL CTR,TORRANCE,CA,Abbott Exclusive,2025-02-28,740,2025-02
ST JOSEPHS REGIONAL MEDICAL CENTER,PATERSON,NJ,Abbott Exclusive,2025-03-01,3000,2025-03
FLOYD CO MEM HOSP,CHARLES CITY,IA,Abbott Exclusive,2025-03-01,80,2025-03
CHILDRENS HOME OF PITTSBURGH,PITTSBURGH,PA,Other,2025-03-09,0,2025-03
SOUTH CENTRAL REG MEDICAL CENTER,LAUREL,MS,MJN Exclusive,2025-03-31,930,2025-03
RADY CHILDRENS HOSPITAL SAN DIEGO,SAN DIEGO,CA,Choice,2025-03-31,1630,2025-03
NAVAL MEDICAL CENTER,PORTSMOUTH,VA,MJN Exclusive,2025-03-31,2305,2025-03
CLEVELAND CLINIC AKRON GENERAL,AKRON,OH,MJN Exclusive,2025-03-31,2505,2025-03
CONTRA COSTA REG MED CTR,MARTINEZ,CA,MJN Exclusive,2025-03-31,1889,2025-03
UH RAINBOW BABIES & CHILDRENS HOSP,CLEVELAND,OH,MJN Exclusive,2025-03-31,1033,2025-03
PIKEVILLE MEDICAL CENTER,PIKEVILLE,KY,Abbott Exclusive,2025-03-31,1038,2025-03
HILLCREST HOSPITAL,MAYFIELD HEIGHTS,OH,MJN Exclusive,2025-03-31,4826,2025-03
EMERSON HOSPITAL,CONCORD,MA,MJN Exclusive,2025-03-31,1260,2025-03
MAGNOLIA REGIONAL HEALTH CENTER,CORINTH,MS,Choice,2025-03-31,871,2025-03
CLEVELAND CLINIC TRADITION HOSP,PORT SAINT LUCIE,FL,MJN Exclusive,2025-03-31,1415,2025-03
FAIRVIEW HOSPITAL,CLEVELAND,OH,MJN Exclusive,2025-03-31,5536,2025-03
SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA,CA,Abbott Exclusive,2025-03-31,2600,2025-03
UH RAINBOW AHUJA MEDICAL CENTER,BEACHWOOD,OH,MJN Exclusive,2025-03-31,908,2025-03
CLEVELAND CLINIC MARTIN NORTH,STUART,FL,MJN Exclusive,2025-03-31,788,2025-03
CLEVELAND CLINIC FOUNDATION,CLEVELAND,OH,MJN Exclusive,2025-03-31,357,2025-03
HARBOR HOSPITAL,BALTIMORE,MD,Choice,2025-04-07,1235,2025-04
FRANKLIN SQUARE HOSPITAL CENTER,ROSEDALE,MD,Choice,2025-04-07,2210,2025-04
MEDSTAR SOUTHERN MARYLAND HOSP CTR,CLINTON,MD,Choice,2025-04-25,1122,2025-04
ST MARYS HOSPITAL,LEONARDTOWN,MD,Choice,2025-04-25,1075,2025-04
WASHINGTON HOSPITAL CENTER,WASHINGTON,DC,Choice,2025-04-25,3549,2025-04
MEDSTAR MONTGOMERY MEDICAL CENTER,OLNEY,MD,Choice,2025-04-25,604,2025-04
GEORGETOWN UNIVERSITY HOSPITAL,WASHINGTON,DC,Choice,2025-04-25,1055,2025-04
COLUMBUS REGIONAL HOSPITAL,COLUMBUS,IN,MJN Exclusive,2025-04-30,1328,2025-04
MANIILAQ MEDICAL CENTER,KOTZEBUE,AK,MJN Exclusive,2025-04-30,56,2025-04
SAMUEL SIMMONDS MEMORIAL HOSP,BARROW,AK,MJN Exclusive,2025-04-30,19,2025-04
MT EDGECUMBE HOSPITAL,SITKA,AK,MJN Exclusive,2025-04-30,90,2025-04
CHEROKEE NATION HASTINGS,TAHLEQUAH,OK,MJN Exclusive,2025-04-30,858,2025-04
MEMORIAL HOSPITAL EAST,SHILOH,IL,MJN Exclusive,2025-04-30,2066,2025-04
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,MJN Exclusive,2025-04-30,1742,2025-04
ST LOUIS CHILDRENS HOSP,SAINT LOUIS,MO,MJN Exclusive,2025-04-30,7335,2025-04
BARNES-JEWISH HOSPITAL,SAINT LOUIS,MO,MJN Exclusive,2025-04-30,3472,2025-04
NORTON SOUND REG HOSP,NOME,AK,MJN Exclusive,2025-04-30,95,2025-04
MISSOURI BAPTIST MED CTR,SAINT LOUIS,MO,MJN Exclusive,2025-04-30,4405,2025-04
STANFORD HEALTH CARE VALLEYCARE,PLEASANTON,CA,MJN Exclusive,2025-04-30,1280,2025-04
YUKON KUSKOKWIM DELTA,BETHEL,AK,MJN Exclusive,2025-04-30,425,2025-04
INTEGRIS SOUTHWEST MEDICAL CENTER,OKLAHOMA CITY,OK,Abbott Exclusive,2025-05-10,1147,2025-05
INTEGRIS BAPTIST MEDICAL CENTER,OKLAHOMA CITY,OK,Abbott Exclusive,2025-05-10,3001,2025-05
BEEBE HEALTHCARE,LEWES,DE,Abbott Exclusive,2025-05-15,970,2025-05
SINGING RIVER GULFPORT HOSPITAL,GULFPORT,MS,MJN Exclusive,2025-05-31,2,2025-05
CASCADE VALLEY HOSP,ARLINGTON,WA,MJN Exclusive,2025-05-31,137,2025-05
OCEAN SPRINGS HOSPITAL,OCEAN SPRINGS,MS,MJN Exclusive,2025-05-31,1371,2025-05
WHITE PLAINS HOSPITAL CENTER,WHITE PLAINS,NY,MJN Exclusive,2025-05-31,1990,2025-05
SARATOGA HOSPITAL,SARATOGA SPRINGS,NY,Abbott Exclusive,2025-05-31,845,2025-05
SINGING RIVER HOSPITAL,PASCAGOULA,MS,Choice,2025-05-31,925,2025-05
PHS INDIAN HOSPITAL PINE RDGE,PINE RIDGE,SD,MJN Exclusive,2025-05-31,322,2025-05
MEMORIAL HOSP OF CONVERSE CO,DOUGLAS,WY,Choice,2025-05-31,155,2025-05
SINGING RIVER HOSPITAL,PASCAGOULA,MS,MJN Exclusive,2025-05-31,1243,2025-05
CHAMBERSBURG HOSPITAL,CHAMBERSBURG,PA,Abbott Exclusive,2025-06-01,2550,2025-06
WELLSPAN EPHRATA COMM HOSPITAL,EPHRATA,PA,Abbott Exclusive,2025-06-01,696,2025-06
GETTYSBURG HOSPITAL,GETTYSBURG,PA,Abbott Exclusive,2025-06-01,370,2025-06
NORTHWEST COMM HOSP,ARLINGTON HEIGHTS,IL,Abbott Exclusive,2025-06-01,2450,2025-06
WELLSPAN GOOD SAMARITAN HOSPITAL,LEBANON,PA,Abbott Exclusive,2025-06-01,709,2025-06
KOSCIUSKO COMMUNITY HOSPITAL,WARSAW,IN,Abbott Exclusive,2025-06-09,480,2025-06
PUNXSUTAWNEY AREA HOSPITAL,PUNXSUTAWNEY,PA,Abbott Exclusive,2025-06-18,150,2025-06
PECONIC BAY MEDICAL CENTER,RIVERHEAD,NY,Abbott Exclusive,2025-06-19,431,2025-06
ST DAVIDS GEORGETOWN HLTHCARE SYS,GEORGETOWN,TX,Abbott Exclusive,2025-06-30,975,2025-06
HUNTSVILLE MEMORIAL,HUNTSVILLE,TX,MJN Exclusive,2025-06-30,251,2025-06
HAVASU REGIONAL MEDICAL CENTER,LAKE HAVASU CITY,AZ,MJN Exclusive,2025-06-30,559,2025-06
OUR LADY OF LAKE REG,BATON ROUGE,LA,MJN Exclusive,2025-06-30,101,2025-06
HAYWOOD REGIONAL MEDICAL CENTER,CLYDE,NC,Choice,2025-06-30,200,2025-06
OUR LADY OF LOURDES REG MED CTR,LAFAYETTE,LA,MJN Exclusive,2025-06-30,0,2025-06
HCA FLORIDA BRANDON HOSPITAL,BRANDON,FL,MJN Exclusive,2025-06-30,2860,2025-06
PRESBYTERIAN / ST LUKES MEDICAL CTR,DENVER,CO,MJN Exclusive,2025-06-30,1895,2025-06
OUR LADY OF THE ANGELS HOSPITAL,BOGALUSA,LA,MJN Exclusive,2025-06-30,257,2025-06
ST CLARE'S HOSP,DENVILLE,NJ,MJN Exclusive,2025-06-30,1278,2025-06
ST DAVIDS MEDICAL CENTER,AUSTIN,TX,Abbott Exclusive,2025-06-30,4006,2025-06
HSHS ST VINCENT HOSPITAL,GREEN BAY,WI,Abbott Exclusive,2025-06-30,1463,2025-06
PARRISH MEDICAL CENTER,TITUSVILLE,FL,MJN Exclusive,2025-06-30,602,2025-06
CHILDRENS SPECIALIZED HOSPITAL,MOUNTAINSIDE,NJ,Choice,2025-06-30,522,2025-06
KNAPP MEDICAL CENTER,WESLACO,TX,MJN Exclusive,2025-06-30,2000,2025-06
ST FRANCIS MEDICAL CTR,MONROE,LA,MJN Exclusive,2025-06-30,2162,2025-06
ST FRANCIS MEDICAL CENTER,LYNWOOD,CA,MJN Exclusive,2025-06-30,4722,2025-06
CLINTON MEMORIAL HOSPITAL,WILMINGTON,OH,MJN Exclusive,2025-06-30,350,2025-06
PENOBSCOT BAY MEDICAL CENTER,ROCKPORT,ME,Abbott Exclusive,2025-06-30,251,2025-06
COLLETON MEDICAL CENTER,WALTERBORO,SC,Abbott Exclusive,2025-06-30,288,2025-06
COLQUITT REGIONAL MEDICAL CENTER,MOULTRIE,GA,MJN Exclusive,2025-06-30,592,2025-06
PARKLAND HEALTH CTR,FARMINGTON,MO,MJN Exclusive,2025-06-30,664,2025-06
PETERSON REGIONAL MEDICAL CENTER,KERRVILLE,TX,MJN Exclusive,2025-06-30,637,2025-06
PARADISE VALLEY HOSPITAL,NATIONAL CITY,CA,MJN Exclusive,2025-06-30,0,2025-06
PHELPS MEMORIAL HOSPITAL CENTER,SLEEPY HOLLOW,NY,Abbott Exclusive,2025-06-30,940,2025-06
PAMPA REG MED CNTR,PAMPA,TX,MJN Exclusive,2025-06-30,0,2025-06
HARLAN ARH HOSPITAL,HARLAN,KY,Choice,2025-06-30,290,2025-06
CITRUS MEMORIAL HOSPITAL,INVERNESS,FL,MJN Exclusive,2025-06-30,678,2025-06
PIONEERS MEMORIAL HOSPITAL,BRAWLEY,CA,Abbott Exclusive,2025-06-30,2052,2025-06
PHOENIXVILLE HOSPITAL,PHOENIXVILLE,PA,Abbott Exclusive,2025-06-30,1291,2025-06
PALMS WEST HOSPITAL,LOXAHATCHEE,FL,MJN Exclusive,2025-06-30,2270,2025-06
PALMETTO GENERAL HOSPITAL,HIALEAH,FL,MJN Exclusive,2025-06-30,1687,2025-06
CHRISTUS SOUTHEAST TX ST ELIZABETH,BEAUMONT,TX,Abbott Exclusive,2025-06-30,1953,2025-06
PALESTINE REGIONAL MEDICAL CENTER,PALESTINE,TX,MJN Exclusive,2025-06-30,597,2025-06
LAKE NORMAN REGIONAL MEDICAL CENTER,MOORESVILLE,NC,MJN Exclusive,2025-06-30,796,2025-06
HARPER HUTZEL HOSPITAL,DETROIT,MI,Abbott Exclusive,2025-06-30,3767,2025-06
OZARKS HEALTHCARE,WEST PLAINS,MO,MJN Exclusive,2025-06-30,570,2025-06
HARRIS REGIONAL HOSPITAL,SYLVA,NC,Choice,2025-06-30,633,2025-06
COMMUNITY HOSPITAL,GRAND JUNCTION,CO,MJN Exclusive,2025-06-30,630,2025-06
ST FRANCIS HOSPITAL INC,MEMPHIS,TN,MJN Exclusive,2025-06-30,1883,2025-06
OVIEDO MEDICAL CENTER,OVIEDO,FL,MJN Exclusive,2025-06-30,627,2025-06
OVERLAND PARK REGIONAL MEDICAL CTR,OVERLAND PARK,KS,Abbott Exclusive,2025-06-30,2949,2025-06
ST FRANCIS HOSPITAL,COLUMBUS,GA,MJN Exclusive,2025-06-30,1530,2025-06
BETH ISRAEL DEACONESS MEDICAL CTR,BOSTON,MA,Abbott Exclusive,2025-06-30,5215,2025-06
PALOMAR MEDICAL CENTER ESCONDIDO,ESCONDIDO,CA,Choice,2025-06-30,3475,2025-06
KERN MEDICAL,BAKERSFIELD,CA,MJN Exclusive,2025-06-30,2621,2025-06
WEST VALLEY MEDICAL CENTER,CALDWELL,ID,MJN Exclusive,2025-06-30,381,2025-06
BARSTOW COMMUNITY HOSPITAL,BARSTOW,CA,Choice,2025-06-30,354,2025-06
WINCHESTER MEDICAL CENTER,WINCHESTER,VA,MJN Exclusive,2025-06-30,2485,2025-06
CARIBOU MEMORIAL HOSP,SODA SPRINGS,ID,MJN Exclusive,2025-06-30,150,2025-06
BEAUMONT HOSPITAL WAYNE,WAYNE,MI,Abbott Exclusive,2025-06-30,679,2025-06
SOUTH LAKE HOSPITAL,CLERMONT,FL,MJN Exclusive,2025-06-30,1136,2025-06
SAINT AGNES MEDICAL CENTER,FRESNO,CA,Abbott Exclusive,2025-06-30,4000,2025-06
BEAUMONT HOSPITAL TROY,TROY,MI,Abbott Exclusive,2025-06-30,3787,2025-06
SADDLEBACK MEM MED CTR,LAGUNA HILLS,CA,Abbott Exclusive,2025-06-30,2249,2025-06
BEAUMONT HOSPITAL TRENTON,TRENTON,MI,Abbott Exclusive,2025-06-30,543,2025-06
CAPITAL REGIONAL MEDICAL CENTER,TALLAHASSEE,FL,MJN Exclusive,2025-06-30,1064,2025-06
BEAUMONT HOSPITAL ROYAL OAK,ROYAL OAK,MI,Abbott Exclusive,2025-06-30,6988,2025-06
RUTHERFORD HOSPITAL INC,RUTHERFORDTON,NC,Other,2025-06-30,614,2025-06
SOUTHERN HILLS HOSPITAL & MED CTR,LAS VEGAS,NV,Abbott Exclusive,2025-06-30,1519,2025-06
CAROMONT REGIONAL MEDICAL CENTER,GASTONIA,NC,Abbott Exclusive,2025-06-30,1629,2025-06
WINCHESTER HOSPITAL,WINCHESTER,MA,MJN Exclusive,2025-06-30,2523,2025-06
BEAUMONT HOSPITAL GROSSE POINTE,GROSSE POINTE,MI,Abbott Exclusive,2025-06-30,721,2025-06
ROSE MEDICAL CENTER,DENVER,CO,MJN Exclusive,2025-06-30,4510,2025-06
SOUTHERN REGIONAL MEDICAL CENTER,RIVERDALE,GA,MJN Exclusive,2025-06-30,1856,2025-06
CARSON TAHOE REG MEDICAL CENTER,CARSON CITY,NV,MJN Exclusive,2025-06-30,1050,2025-06
CARLE HEALTH METHODIST HOSPITAL,PEORIA,IL,MJN Exclusive,2025-06-30,1700,2025-06
WINNIE PALMER HOSPITAL,ORLANDO,FL,MJN Exclusive,2025-06-30,15043,2025-06
HOULTON REGIONAL HOSPITAL,HOULTON,ME,MJN Exclusive,2025-06-30,110,2025-06
WISE REGIONAL HLTH SYS,DECATUR,TX,Abbott Exclusive,2025-06-30,500,2025-06
HSHS ST JOSEPHS HOSPITAL,BREESE,IL,Abbott Exclusive,2025-06-30,519,2025-06
HSHS ST JOHNS HOSPITAL,SPRINGFIELD,IL,Abbott Exclusive,2025-06-30,2249,2025-06
HSHS ST FRANCIS HOSPITAL,LITCHFIELD,IL,MJN Exclusive,2025-06-30,352,2025-06
JACKSON HOSPITAL,MARIANNA,FL,MJN Exclusive,2025-06-30,488,2025-06
HSHS ST ANTHONYS MEMORIAL HOSP,EFFINGHAM,IL,MJN Exclusive,2025-06-30,680,2025-06
SAN RAMON REG MED CENTER,SAN RAMON,CA,MJN Exclusive,2025-06-30,324,2025-06
SAN JUAN REG MED CTR,FARMINGTON,NM,MJN Exclusive,2025-06-30,1296,2025-06
SAN DIMAS COMM HOSP,SAN DIMAS,CA,MJN Exclusive,2025-06-30,220,2025-06
SAMPSON REGIONAL MEDICAL CENTER,CLINTON,NC,MJN Exclusive,2025-06-30,365,2025-06
CANYON VISTA MEDICAL CENTER,SIERRA VISTA,AZ,Abbott Exclusive,2025-06-30,546,2025-06
SKY RIDGE MEDICAL CENTER,LONE TREE,CO,Abbott Exclusive,2025-06-30,3036,2025-06
WOODLAND HEIGHTS MEDICAL CENTER,LUFKIN,TX,MJN Exclusive,2025-06-30,1320,2025-06
SALINE MEMORIAL HOSPITAL,BENTON,AR,MJN Exclusive,2025-06-30,700,2025-06
JACKSON PURCHASE MEDICAL CENTER,MAYFIELD,KY,Choice,2025-06-30,423,2025-06
SMHC BIDDEFORD MEDICAL CENTER,BIDDEFORD,ME,Choice,2025-06-30,619,2025-06
SAINT VINCENT HOSPITAL,WORCESTER,MA,Abbott Exclusive,2025-06-30,1698,2025-06
BELL HOSPITAL,ISHPEMING,MI,MJN Exclusive,2025-06-30,370,2025-06
SOUTH BALDWIN REGIONAL MEDICAL CNTR,FOLEY,AL,MJN Exclusive,2025-06-30,697,2025-06
CAPE COD HOSPITAL,HYANNIS,MA,Choice,2025-06-30,1042,2025-06
BEAUMONT HOSPITAL DEARBORN,DEARBORN,MI,Abbott Exclusive,2025-06-30,4499,2025-06
HCA HOUSTON HEALTHCARE KINGWOOD,KINGWOOD,TX,Abbott Exclusive,2025-06-30,2742,2025-06
CARTHAGE AREA HOSPITAL,CARTHAGE,NY,MJN Exclusive,2025-06-30,353,2025-06
CEDAR PARK REGIONAL MEDICAL CENTER,CEDAR PARK,TX,MJN Exclusive,2025-06-30,1132,2025-06
WESTOVER HILLS BAPTIST HOSPITAL,SAN ANTONIO,TX,Abbott Exclusive,2025-06-30,0,2025-06
PUTNAM COMMUNITY MEDICAL CENTER,PALATKA,FL,MJN Exclusive,2025-06-30,0,2025-06
HOAG HOSPITAL NEWPORT BEACH,NEWPORT BEACH,CA,Abbott Exclusive,2025-06-30,6925,2025-06
WESTERN MISSOURI MED CTR,WARRENSBURG,MO,MJN Exclusive,2025-06-30,688,2025-06
OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,MJN Exclusive,2025-06-30,207,2025-06
WEST SUBURBAN MEDICAL CENTER,OAK PARK,IL,MJN Exclusive,2025-06-30,698,2025-06
HSHS ST NICHOLAS HOSPITAL,SHEBOYGAN,WI,Abbott Exclusive,2025-06-30,278,2025-06
HIGHLANDS ARH REG MEDICAL CENTER,PRESTONSBURG,KY,Choice,2025-06-30,420,2025-06
RANDALL CHILDRENS HOSPITAL,PORTLAND,OR,MJN Exclusive,2025-06-30,1686,2025-06
HI-DESERT MEDICAL CENTER,JOSHUA TREE,CA,MJN Exclusive,2025-06-30,344,2025-06
WEST BOCA MEDICAL CENTER,BOCA RATON,FL,MJN Exclusive,2025-06-30,1916,2025-06
BAYFRONT HEALTH ST PETERSBURG,SAINT PETERSBURG,FL,MJN Exclusive,2025-06-30,3662,2025-06
HENRICO DOCTORS HOSPITAL,HENRICO,VA,Other,2025-06-30,4732,2025-06
CHILDRENS HOSPITAL,NEW ORLEANS,LA,Abbott Exclusive,2025-06-30,2400,2025-06
WESLEY MEDICAL CENTER,WICHITA,KS,Abbott Exclusive,2025-06-30,5617,2025-06
